◌ᷜ 	&ksup; 
◌ 	&kscapsup; 
◌ᷝ 	&lsup; 
◌ᷞ 	&lscapsup; 
◌ͫ 	&msup; 
◌ᷟ 	&mscapsup; 
◌ᷠ 	&nsup; 
◌ᷡ 	&nscapsup; 
◌ͦ 	&osup; 
◌ 	&omacrsup; 
◌ 	&oslashsup; 
◌ 	&oogonsup; 
◌ 	&orrotsup; 
◌ 	&orumsup; 
◌ 	&psup; 
◌ 	&qsup; 
◌ͬ 	&rsup; 
◌ᷣ 	&rrotsup; 
◌ 	&rumsup; 
◌ᷢ 	&rscapsup; 
◌ᷤ 	&ssup; 
◌ᷥ 	&slongsup; 
◌ͭ 	&tsup; 
◌ 	&trotsup; 
◌ 	&tscapsup; 
◌ͧ 	&usup; 
◌ͮ 	&vsup; 
◌ 	&wsup; 
◌ͯ 	&xsup; 
◌ 	&ysup; 
◌ᷦ 	&zsup; 
◌ 	&thornsup; 
◌̀ 	&combgrave; 
◌́ 	&combacute; 
◌̂ 	&combcirc; 
◌᷍◌ 	&combcircdbl; 
◌̃ 	&combtilde; 
◌̄ 	&combmacr; 
◌̆ 	&combbreve; 
◌̇ 	&combdot; 
◌̈ 	&combuml; 
◌̉ 	&combhook; 
◌̊ 	&combring; 
◌̋ 	&combdblac; 
◌̍ 	&combsgvertl; 
◌̎ 	&combdbvertl; 
◌̣ 	&combdotbl; 
◌̧ 	&combced; 
◌̳ 	&dblbarbl; 
◌̿ 	&dblovl; 
◌̨ 	&combogon; 
◌͙ 	&combastbl; 
◌͜◌ 	&combdblbrevebl; 
